Without Correlation,With Correlation,Accuracy,Precision,Recall,F1,AUC,,,,,,,,,,,
,,0.977894737,0.980303682,0.956399819,0.967841967,0.995985381,,,,,,,,,,,
15,14,0.958421053,0.955417627,0.924762551,0.939000705,0.984380539,,,,,,,,,,,
16,14,0.966315789,0.969052485,0.933763003,0.950115757,0.988841144,,,,,,,,,,,
17,15,0.967368421,0.973455197,0.93229308,0.951657268,0.98982564,,,,,,,,,,,
18,16,0.972631579,0.9668474,0.954907282,0.96032127,0.992119424,,,,,,,,,,,
19,16,0.972631579,0.971225375,0.950407056,0.960022674,0.993492772,,,,,,,,,,,
20,19,0.976315789,0.977344573,0.954929896,0.965401077,0.993230276,,,,,,,,,,,
21,20,0.974736842,0.974308202,0.953414744,0.963167957,0.99421048,,,,,,,,,,,
22,21,0.975263158,0.977185557,0.951922207,0.963887349,0.994215279,,,,,,,,,,,
,,,,,,,,,,,97.79,98.03,95.64,0.9678,0.9960,,
,,,,,,,,,17,15,96.74,97.35,93.23,0.9517,0.9898,,100
,,,,,,,,,18,16,97.26,96.68,95.49,0.9603,0.9921,,
,,,,,,,,,19,16,97.26,97.12,95.04,0.9600,0.9935,,
,,,,,,,,,20,19,97.63,97.73,95.49,0.9654,0.9932,,
,,,,,,,,,21,20,97.47,97.43,95.34,0.9632,0.9942,,
,,,,,,,,,22,21,97.53,97.72,95.19,0.9639,0.9942,,
